What is your current CGPA?,PerformanceLevel,attendance_pct,How many hour do you study daily?,How many hour do you spent daily in social media?,What was your previous SGPA?,merit_scholar,uses_univ_transport,uses_smartphone,has_computer,attends_consultancy,How many hour do you spent daily on your skill development?
3.15,Good,90.0,3,5,2.68,1,0,1,1,1,2
3.15,Good,96.0,3,3,2.68,1,1,1,1,0,2
3.15,Good,80.0,3,3,2.68,0,0,1,1,1,1
3.15,Good,88.0,1,2,2.68,1,0,1,1,1,1
3.15,Good,80.0,3,2,2.68,1,0,1,1,1,1
3.15,Good,95.0,2,1,2.68,1,1,1,1,1,2
3.15,Good,80.0,2,2,2.68,1,0,1,1,0,6
3.64,Good,100.0,2,2,3.8,1,0,1,1,1,1
3.15,Good,90.0,3,2,2.68,1,0,1,1,0,3
3.15,Good,100.0,5,2,2.68,1,1,1,1,1,1
3.15,Good,90.0,3,3,2.68,1,1,1,1,1,1
3.53,Good,90.0,3,2,3.4,0,0,1,1,0,2
3.15,Good,100.0,1,1,2.68,0,1,1,1,1,2
3.15,Good,90.0,3,1,2.68,1,0,1,1,0,1
3.15,Good,97.0,2,1,2.68,0,1,1,1,0,2
3.89,Good,95.0,2,1,3.93,1,1,1,1,1,3
3.15,Good,95.0,5,1,2.68,1,1,1,1,1,2
3.15,Good,97.0,5,2,2.68,1,0,1,1,0,2
3.5,Good,70.0,1,3,3.1,1,0,1,1,1,2
3.15,Good,70.0,3,2,2.68,0,1,1,1,1,2
3.65,Good,96.0,3,2,3.81,1,0,1,1,1,1
3.15,Good,80.0,3,2,2.68,1,0,1,1,0,2
3.15,Good,98.0,2,2,2.68,1,0,1,1,1,2
3.15,Good,95.0,6,3,2.68,0,1,1,1,0,3
3.81,Good,85.0,1,1,3.89,1,1,1,1,1,2
3.82,Good,97.0,3,1,3.79,0,0,1,1,1,2
3.15,Good,95.0,4,3,2.68,0,0,1,0,0,2
3.48,Good,70.0,2,4,3.55,1,1,1,1,1,4
3.32,Good,95.0,2,2,3.28,1,1,1,1,1,2
3.15,Good,100.0,3,2,2.68,1,0,1,1,1,3
3.15,Good,90.0,3,4,2.68,1,1,1,1,1,2
3.15,Good,95.0,4,2,2.68,1,1,1,1,1,3
3.15,Good,90.0,5,2,2.68,0,0,1,1,0,1
3.15,Good,100.0,8,2,2.68,1,0,1,1,0,2
3.15,Good,95.0,1,2,2.68,1,1,1,1,0,1
3.15,Good,80.0,3,1,2.68,1,1,1,0,0,2
3.15,Good,99.0,2,3,2.68,1,0,1,1,1,2
3.15,Good,70.0,2,5,2.68,0,0,1,1,1,4
3.15,Good,100.0,4,4,2.68,1,1,1,1,1,1
3.15,Good,98.0,5,3,2.68,1,1,1,1,1,2
3.15,Good,100.0,5,6,2.68,1,0,1,1,1,3
3.15,Good,97.0,3,2,2.68,0,0,1,1,1,2
3.15,Good,98.0,3,1,2.68,1,1,1,1,1,4
3.15,Good,90.0,5,6,2.68,1,1,1,1,1,1
3.15,Good,90.0,4,2,2.68,1,1,1,1,1,2
3.15,Good,95.0,4,1,2.68,1,0,1,1,1,3
3.15,Good,95.0,5,3,2.68,1,0,1,1,1,1
3.15,Good,90.0,1,1,2.68,1,1,1,1,0,2
3.88,Good,99.0,2,3,3.78,0,0,1,1,0,1
3.15,Good,90.0,7,5,2.68,1,0,1,1,1,2
3.15,Good,90.0,2,3,2.68,1,1,1,1,0,1
4.0,Good,88.0,2,2,4.0,1,1,1,1,0,2
3.15,Good,95.0,5,1,2.68,1,1,1,1,1,2
3.9,Good,100.0,3,2,3.9,1,0,1,1,0,1
3.15,Good,100.0,2,1,2.68,1,1,1,1,1,2
3.15,Good,80.0,1,7,2.68,0,1,1,1,1,2
3.15,Good,100.0,1,2,2.68,1,0,1,1,0,1
3.15,Good,98.0,1,1,2.68,1,1,1,1,0,2
3.15,Good,85.0,4,3,2.68,1,1,1,1,1,2
3.15,Good,99.0,2,4,2.68,1,1,1,1,0,2
3.15,Good,75.0,1,4,2.68,1,1,1,1,1,1
3.15,Good,85.0,3,4,2.68,1,1,1,1,1,2
3.15,Good,100.0,1,2,2.68,0,1,1,1,0,2
